name,phone,email,address,postalZip,region,country
roopa Chan,(121) 422-3773,quisque.nonummy@outlook.couk,"P.O. Box 132, 2526 Justo Road",15-13,Alabama,United States
Yuli Cohen,(587) 227-6157,soumya@aol.com,"879-1214 Eget, Ave",56463,Louisiana,United States
Zia Briggs,(246) 434-4339,daanya.maecenas@aol.org,1165 Donec Rd.,28624,Mississippi,United States
Martena Hubbard,1-766-758-8622,pellentesque@hotmail.ca,"P.O. Box 132, 3045 Fusce St.",8715,Pennsylvania,United States
Sydnee Lopez,(377) 680-1167,orci.quis.lectus@aol.couk,Ap #685-9788 Non Ave,2178 UW,Connecticut,United States
Chaney Lindsey,1-330-267-4029,donec@outlook.edu,754-7349 Magna. Rd.,3808,Tennessee,United States
Emerald Beck,1-751-609-7567,semper.et@google.com,5825 Laoreet Rd.,33012535,Pennsylvania,United States
Brennan Kirby,1-338-752-2778,sociis.natoque.penatibus@hotmail.net,Ap #418-1241 Metus. Av.,2782,Virginia,United States
Fulton Reed,1-384-782-8167,eu.ligula@hotmail.net,"Ap #707-5695 Dui, Av.",242978,Maine,United States
Calvin Le,1-350-424-1884,ornare.libero@outlook.edu,"P.O. Box 572, 7308 Nunc Rd.",351835,Arizona,United States
